word	tag	freq_a1	freq_a2	freq_b1	freq_b2	freq_c1	freq_c2	freq_total	
absence	N	6.8589	18.7497	18.1509	94.9175	64.0726	92.7691	41.4738	
absent	N	0.0	0.3209	0.0	0.0	3.1012	0.0	0.2952	
absent	A	0.3983	0.7796	1.3603	0.0	66.2281	0.0	6.9963	
absenter	V	0.0	0.0	0.0	0.2167	0.0	19.2455	0.4406	
absentéisme	N	0.0	0.0	4.081	0.0	0.0	0.0	0.3757	
absolu	A	1.895	2.803	5.3241	2.1187	9.8488	39.0461	7.3205	
absolument	ADV	0.9991	51.997	31.1039	66.4824	51.07	0.0	39.835	
absorber	V	0.0	0.6342	0.2076	0.5755	26.2593	0.0	2.8852	
absorption	N	0.0	0.0	0.0	0.0	6.1515	0.0	0.1083	
abstenir	V	0.0	0.0	0.2405	0.0	1.6042	0.0	0.3387	
abstention	N	0.0	0.0	0.2405	0.0	0.0	0.0	0.0221	
abstraction	N	0.0	0.0	0.0	0.0	0.0	9.6228	0.0234	
abstraire	V	0.0	0.0	0.2366	0.0	0.0	0.0	0.0349	
abstrait	A	0.0	0.0	0.0	0.5755	3.1012	0.0	0.3655	
absurde	N	0.0	5.0793	8.509	0.0	0.0	0.0	4.0864	
absurde	A	0.0	3.401	7.8894	14.7391	0.0	0.0	6.3124	
abus	N	0.0	0.0	0.7097	0.5285	30.8494	0.0	3.3712	
abuser	V	0.0	0.0	4.7971	10.597	24.3636	9.6228	6.7174	
abusif	A	0.0	0.0	0.0	0.0	4.101	0.0	0.0722	
abyssal	A	0.0	0.0	0.0	0.0	1.6042	0.0	0.0333	
abîme	N	0.0	0.0	5.8276	0.0	28.0139	0.0	4.0178	
abîmer	V	0.5197	0.1306	0.2366	4.8711	0.0	0.0	1.6594	
acacia	N	0.0	0.0	0.0	0.0	0.0	9.6228	0.0234	
academy	N	0.0	0.0	1.4195	0.0	1.6042	0.0	0.8579	
académie	N	1.4987	3.8842	27.7531	8.4175	21.4487	57.7365	20.3634	
académique	A	0.0	0.0	0.0	19.3322	0.0	19.2455	2.265	
académisme et avant - garde	N	0.0	0.0	0.0	0.0	6.2023	0.0	0.1092	
accablant	A	0.0	0.0	0.0	1.6517	0.0	0.0	0.0377	
accabler	V	0.0	0.0	0.231	0.0	0.0	0.0	0.0213	
accaparer	V	0.0	0.0	0.0	21.194	2.0505	0.0	1.2651	
accent	N	29.5416	9.3949	5.0912	29.8387	32.8328	45.4565	23.6583	
accentuer	V	0.0	0.0	0.7236	0.0	16.8923	28.5334	2.8045	
acceptable	A	0.0	0.2114	0.0	0.0	15.5058	0.0	1.1393	
acceptation	N	0.0	1.6044	0.0	0.5755	34.728	9.6228	4.0579	
accepter	V	173.2037	110.2433	175.9767	63.07	77.3268	114.1335	136.1372	
acception	N	0.0	0.0	0.0	0.0	12.3029	2.0587	0.8751	
accessible	A	0.0	0.0	3.9685	0.0	32.7469	0.0	3.4026	
accession	N	0.0	1.2702	6.5945	0.0	0.0	105.8503	6.8372	
accessoire	N	0.0	0.2206	6.6788	0.0	0.0	9.6228	3.2167	
accident	N	174.191	40.6532	65.819	10.3721	3.2084	68.1256	62.5622	
accidentel	A	0.0	0.0	0.0908	0.0	1.6042	0.0	0.2544	
accidenter	V	0.0	0.0	0.0698	0.0	1.6042	0.0	0.2278	
acclamation	N	0.0	0.0	2.5729	0.0	0.0	0.0	0.4628	
acclamer	V	0.0	0.3469	4.3623	0.0	0.0	0.0	1.3666	
acclimater	V	0.0	0.0	0.0906	0.0	0.0	0.0	0.0083	
accolade	N	0.0	0.6619	0.0	0.0	0.0	0.0	0.0334	
accoler	V	0.0	0.0	0.0	6.0554	0.0	0.0	0.1383	
accommoder	V	0.0	0.0	0.0	0.7062	6.1515	0.0	0.6969	
accompagnement	N	0.0	0.0	4.5298	1.4125	19.6975	0.0	3.955	
accompagner	V	187.5935	97.4489	115.2127	51.0609	89.1065	39.0192	116.7094	
accompagné	A	1.6057	0.9626	0.0	0.0	0.0	0.0	0.9455	
accomplir	V	10.5394	6.1822	24.9244	7.2463	4.101	48.1138	18.6524	
accomplissement	N	0.0	0.0	0.3618	0.0	6.2023	9.6228	1.0678	
accor	N	631.2547	163.189	90.0176	121.8305	118.6026	152.5583	196.4766	
accorder	V	2.39	25.9253	29.462	4.8562	107.1971	56.9312	32.3147	
accordéon	N	0.0	0.0	0.0	0.7062	0.0	0.0	0.0161	
accoter	V	0.0	0.0	0.6802	0.0	0.0	0.0	0.0626	
accouchement	N	0.0	0.0	0.0	0.0	12.4046	0.0	0.2184	
accoucher	V	1.3242	0.6418	5.7465	0.0	0.0	0.0	3.4501	
accouder	V	0.0	0.0	0.7097	0.0	0.0	0.0	0.1048	
accourir	V	0.0	0.0	0.2076	9.6166	0.0	0.0	1.2292	
accro	A	0.0	0.0	0.4809	0.0	36.9099	9.6228	3.3351	
accro	N	0.0	0.0	3.1298	0.0	1.6042	9.6228	1.5415	
accroc	N	0.0	0.0	0.0	0.5755	0.0	0.0	0.0349	
accrochage	N	0.0	0.0	0.0	0.7062	0.0	0.0	0.0161	
accroche - toi	N	0.0	0.3918	0.0	0.0	0.0	0.0	0.0198	
accroissement	N	0.0	0.0	4.6735	0.0	0.0	0.0	0.8269	
accroître	V	0.0	0.0	5.2867	0.5285	34.062	68.1256	7.0846	
accru	A	0.0	0.0	5.1639	0.0	46.1996	39.0192	6.2389	
accréditer	V	0.0	0.0	0.0	0.0	1.6042	0.0	0.0333	
accueil	N	56.2935	13.185	33.9611	13.8842	9.8488	0.0	29.0877	
accueillant	A	2.2771	0.9757	0.0	0.0	0.0	0.0	1.279	
accueillir	V	72.3205	36.6007	50.9135	50.0021	88.6541	86.6048	65.2332	
accumulation	N	0.0	0.0	0.0	10.597	0.0	0.0	0.242	
accumuler	V	1.5912	0.0	14.3084	10.597	2.0505	0.0	6.7325	
accusateur	N	0.0	0.0	0.9463	0.0	0.0	0.0	0.1397	
accusation	N	0.0	0.0	4.1414	1.6517	0.0	0.0	1.7384	
accuser	V	0.9475	7.2677	18.4781	130.3616	10.2669	0.0	26.3902	
accusé	N	0.0	0.0	0.0	1.6517	0.0	0.0	0.0377	
accès	N	0.0816	11.2501	27.7995	85.8239	39.3132	136.7505	42.8568	
accéder	V	0.0	7.4686	25.8834	11.2845	13.3747	130.2559	20.3574	
accélérateur	N	0.0	0.0	1.0202	0.0	9.3035	0.0	1.0716	
accélération	N	0.0	0.0	0.0	1.5139	2.0505	9.6228	0.7721	
accélérer	V	0.0	0.5168	4.4437	0.0	13.8696	9.6228	3.8753	
accéléré	N	0.0	0.0	0.0	0.0	4.101	0.0	0.0722	
acerbe	A	0.0	0.0	0.0	1.4125	0.0	0.0	0.0323	
acharnement	N	0.7967	0.0	0.6802	0.7062	0.0	0.0	1.0051	
acharner	V	0.0	0.0	0.2041	14.075	0.0	0.0	1.3859	
acharné	A	0.0	0.0	1.4472	13.4191	0.0	0.0	2.5742	
achat	N	14.2823	31.0873	46.9378	6.0554	143.8968	0.0	42.9522	
acheminement	N	0.0	0.0	0.6228	0.0	0.0	0.0	0.0573	
acheminer	V	0.0	0.0	3.7685	9.7124	51.3298	0.0	6.9299	
achetent	V	1.9862	0.0	0.0	0.0	0.0	0.0	0.0383	
acheter	V	432.999	273.1659	136.4678	78.7747	164.3803	39.0461	202.3963	
acheteur	N	0.0	4.2792	4.3292	0.0	6.2023	0.0	3.3735	
achever	V	7.9919	0.3702	7.0749	25.0874	2.0505	19.2455	9.6598	
achile	N	0.0	0.0	0.4152	0.0	0.0	0.0	0.0382	
achille	N	0.0	0.0	0.3401	0.0	0.0	0.0	0.0313	
achoppement	N	0.0	0.0	0.0	0.0	6.1515	0.0	0.1083	
achour	N	19.9195	0.0	0.0	0.0	0.0	0.0	1.6952	
achétés	V	0.0	0.0	0.2405	0.0	0.0	0.0	0.0221	
acide	N	0.0	0.0	0.3014	0.0	0.0	56.9312	1.4471	
acier	N	0.0	9.0024	6.0422	0.0	12.7628	0.0	6.6564	
acompte	N	0.0	0.0	0.0	0.0	1.6042	0.0	0.0333	
acoustique	N	0.0	0.0	0.0	0.0	9.3035	0.0	0.1638	
acquis	A	0.0	0.0	0.0	0.0	2.0505	6.4938	0.3111	
acquisition	N	0.0	1.2702	7.0829	0.0	18.4544	12.9876	7.5268	
acquitter	V	0.0	0.0	0.2041	0.0	3.1012	0.0	0.3104	
acquéreur	N	0.0	0.0	0.2366	0.0	3.1012	0.0	0.3655	
acquérir	V	0.2541	3.6481	48.4996	16.0518	96.4087	72.1042	32.1035	
acrobatie	N	0.0	0.0	0.3618	0.0	0.0	0.0	0.0333	
acrobatique	A	0.0	0.0	0.1812	0.0	0.0	0.0	0.0167	
acte	N	15.2741	4.9002	68.203	128.0789	128.6669	112.7361	64.5899	
acteur	N	22.8674	73.5818	103.3388	36.8235	76.5068	57.7365	72.5346	
acteur - roi	N	0.0	0.0	1.0203	0.0	0.0	0.0	0.0939	
actif	A	22.449	8.4894	31.5961	2.8773	72.7426	174.0949	37.4777	
actifs	N	0.0	0.0	6.7394	3.0277	12.8336	25.9752	7.0012	
action	N	1.3242	20.7176	147.8856	104.309	255.2565	213.6675	105.4151	
actionnaire	N	0.0	0.0	0.2405	0.7062	3.1012	9.6228	1.2179	
actionner	V	0.4014	0.0	9.9791	0.0	9.3035	0.0	4.0987	
activement	ADV	0.0	0.0	0.1155	0.0	6.2023	0.0	0.4892	
activer	V	0.0	2.0176	2.3245	1.5139	0.0	9.6228	2.422	
activisme	N	0.0	0.0	0.0	0.0	0.0	19.4814	0.0474	
activiste	N	0.0	1.6044	0.0	0.0	0.0	0.0	0.081	
activites	N	0.0	0.0	0.3401	0.0	0.0	0.0	0.0313	
activité	N	94.4621	152.54	275.9034	105.3213	321.0586	1297.8717	258.1662	
activité de plein air n ° 1	N	0.0	0.4879	0.0	0.0	0.0	0.0	0.0246	
actualiser	V	0.0	0.0	0.0	3.0277	0.0	0.0	0.0691	
actualité	N	8.0435	4.5738	32.1598	13.6777	43.7711	56.3711	25.4103	
actuel	A	0.5693	102.9808	70.3879	49.7926	151.6202	258.9559	83.9011	
actuellement	ADV	21.6802	39.0157	70.5595	8.2709	173.1079	64.3237	61.3161	
acétylcholine	N	0.0	0.0	0.0	0.0	0.0	19.2455	0.0468	
ad hoc	A	0.0	0.0	0.0	3.0277	0.0	0.0	0.0691	
adage	N	0.0	0.0	0.0	9.0831	2.0505	0.0	0.829	
adaptable	A	0.0	1.8512	0.0	0.0	0.0	0.0	0.0934	
adaptation	N	0.0	31.9862	6.6362	0.0	4.8126	28.8683	13.4591	
adapter	V	21.3029	48.4173	36.4992	56.9813	51.07	12.9876	47.8005	
adapté	A	0.0	1.6171	0.0	1.1509	8.2019	112.7361	5.9976	
addict	N	0.0	0.0	0.0	0.0	6.1515	0.0	0.1083	
addiction	N	0.0	0.0	0.0	0.0	36.9099	0.0	1.3625	
additif	N	0.0	0.0	0.0	0.0	3.1012	0.0	0.0546	
addition	N	11.7237	10.994	0.3618	0.0	43.212	0.0	10.6061	
adduction	N	0.0	0.0	0.0	0.5285	0.0	0.0	0.0121	
adecco	N	0.0	0.2117	0.0	0.0	0.0	0.0	0.0107	
adepte	N	0.0	2.2236	4.8363	3.0277	3.1012	0.0	3.6869	
adha	X	0.5304	0.0	0.0	0.0	0.0	0.0	0.0102	
adhérent	N	0.9991	0.0	16.1511	4.2374	6.4168	0.0	9.2379	
adhérent	A	0.0	0.0	1.809	0.0	3.2084	0.0	1.1093	
adhérer	V	0.0	0.0	19.7319	1.1509	1.6042	12.352	8.3806	
adhésif	A	0.0	0.0	0.0	0.0	3.1012	0.0	0.0546	
adhésif	N	0.0	0.0	0.0	0.0	9.3035	0.0	0.1638	
adhésion	N	0.0	0.0	24.7133	0.0	35.623	76.982	13.3692	
adieu	N	0.0	0.7796	4.4353	0.5755	0.0	0.0	2.5053	
adieu	V	0.0	0.2035	9.1356	0.0	6.2023	0.0	3.4645	
adjoint	A	0.0	0.0	0.0	1.4125	3.1012	32.4689	1.4191	
adjoint	N	0.0	1.4809	2.4678	0.0	0.0	25.9752	3.0665	
adjudant	N	0.0	0.0	3.3094	0.0	0.0	0.0	0.4691	
adjuger	V	0.0	0.0	0.2405	0.0	0.0	0.0	0.0221	
adjurer	V	0.0	0.0	0.0	0.0	18.4508	0.0	0.6247	
adjuvant	N	0.0	0.0	0.1812	0.0	0.0	0.0	0.0167	
admettre	V	1.1453	9.8303	30.1934	34.1611	53.1294	207.532	35.4626	
administrateur	N	0.0	0.0	0.0	1.5139	0.0	0.0	0.0346	
administratif	A	9.3858	0.2114	39.4876	13.6777	6.1515	79.7941	22.4136	
administration	N	2.5113	4.3468	25.9029	4.5416	159.7457	365.5734	41.3105	
administrer	V	0.0	0.0	0.0	10.6273	40.3921	0.0	3.8883	
admirable	A	7.7746	0.7405	2.9104	3.0277	0.0	0.0	3.9376	
admirablement	ADV	0.0	0.0	0.2405	0.0	0.0	0.0	0.0221	
admirateur	N	5.0227	0.2439	6.0037	0.0	0.0	0.0	3.0863	
admiratif	A	0.0	0.0	0.0	0.0	9.3035	0.0	0.1638	
admiration	N	1.0394	0.3209	3.3472	21.8665	6.4168	0.0	7.2077	
admirer	V	74.577	8.8621	34.1105	12.0167	6.2023	0.0	28.1361	
admission	N	0.0	0.0	0.2366	0.0	0.0	0.0	0.0349	
adn	N	0.0	0.0	0.0	0.0	6.2023	0.0	0.1092	
ado	N	67.0108	0.7796	0.2916	2.8249	12.3029	0.0	12.9852	
adolescence	N	0.0	0.7405	11.3455	0.0	9.3035	0.0	4.8818	
adolescent	N	18.7086	30.7329	49.7681	65.7751	24.3636	0.0	43.1198	
adolescent	A	7.7753	2.7895	12.5339	3.0277	39.3501	6.4938	14.0293	
adolphe	N	0.0	0.0	0.0	1.0571	0.0	0.0	0.0241	
adonner	V	0.0	0.0	0.2366	2.3018	6.2023	19.2455	2.1512	
adopter	V	1.9983	20.7038	22.3129	25.4659	122.5919	209.9996	42.6303	
adoptez	PREP	0.0	0.0944	0.0	0.0	0.0	0.0	0.0048	
adoptif	A	0.0	5.1247	0.0	2.1142	0.0	0.0	2.1626	
adoption	N	0.0	0.0	1.3603	0.0	85.7489	0.0	5.4648	
adopté	A	0.0	0.0	0.0	0.2167	0.0	0.0	0.0049	
adorable	A	24.9879	3.8617	4.1829	0.0	0.0	0.0	8.2044	
adorateur	N	0.0	0.0	0.9463	0.0	0.0	0.0	0.1397	
adoration	N	0.0	0.0	0.1507	0.0	0.0	0.0	0.0139	
adorer	V	530.194	163.4157	66.3354	17.4464	9.3035	2.0587	136.6405	
adosser	V	0.0	0.0	0.0	0.0	9.3035	0.0	0.1638	
adoubement	N	0.7967	0.1076	0.0	0.0	0.0	0.0	0.4593	
adoucir	V	0.0	0.0	0.7097	0.0	0.0	0.0	0.1048	
adresse	N	124.4054	33.0412	43.531	42.8828	45.2699	9.6228	58.7112	
adresse e - mail	N	1.7682	0.0	0.1395	0.0	0.0	0.0	0.9156	
adresser	V	0.0	110.3575	142.369	85.5857	32.7469	96.9035	91.6025	
adressé	A	0.0	0.0	0.3618	0.0	0.0	0.0	0.0333	
adroit	A	0.0	2.5842	0.1155	3.5796	0.0	0.0	2.4501	
adroitement	ADV	0.0	0.5168	0.2405	0.0	0.0	0.0	0.3398	
aduler	V	0.0	0.0	1.0203	0.0	0.0	0.0	0.0939	
adulte	N	107.1661	26.8755	26.3556	44.5144	19.6134	108.6082	52.7058	
adulte	A	0.5477	0.9626	44.0917	28.2313	0.0	9.6228	19.8792	
adultère	A	0.0	0.0	0.0	0.0	6.2023	0.0	0.1092	
adultérer	V	0.0	0.0	0.0	0.0	2.0505	0.0	0.0361	
advenir	V	0.0	0.0	0.1637	6.0554	0.0	72.608	3.6032	
adversaire	N	1.195	0.0	31.7602	14.5041	13.8696	0.0	14.66	
adversité	N	0.0	0.0	2.2461	0.0	0.0	0.0	0.3976	
adèle	N	0.0	0.0	3.126	0.0	0.0	0.0	0.2878	
adéquat	A	0.0	0.0	0.2366	0.0	0.0	12.9876	0.3703	
affadissement	N	0.0	0.0	0.0	0.0	1.6042	0.0	0.0333	
affaiblir	V	0.0	0.0	1.9564	1.0571	0.0	56.9312	2.5681	
affaire	N	2.2108	69.3608	147.1185	407.4418	96.9902	28.8683	129.9372	
affairer	V	0.0	0.0	1.7502	0.0	0.0	0.0	0.3241	
affaires	N	137.0081	81.919	118.278	93.3285	33.3916	108.6082	109.746	
affairé	N	0.0	0.0	0.0	0.6707	0.0	0.0	0.0153	
affaler	V	0.0	0.4879	0.0	0.0	0.0	0.0	0.0246	
affamer	V	0.0	0.0	2.7593	1.1509	0.0	0.0	1.2729	
affect	N	0.0	0.0	0.0	0.0	0.0	6.4938	0.0158	
affectation	N	0.5025	0.0	0.8162	0.0	1.6042	0.0	1.2296	
affecter	V	0.0	0.0	0.7097	9.4701	52.2974	6.4938	6.7199	
affectif	A	0.0	0.0	25.4194	1.0571	1.6042	0.0	7.1377	
affectif	N	0.0	0.0	0.0	0.7062	0.0	6.4938	0.3276	
affection	N	0.3983	0.0	1.8883	0.0	0.0	19.2455	1.7793	
affectionner	V	0.0	0.0	0.0	9.0467	0.0	0.0	0.5778	
affectivement	ADV	0.0	0.0	0.0	0.7062	0.0	0.0	0.0161	
affectivité	N	0.0	0.0	0.2916	0.0	0.0	0.0	0.0268	
affectueusement	ADV	0.0	3.5373	0.0	0.0	0.0	0.0	0.4902	
affectueux	A	0.5025	0.2599	2.4569	0.0	0.0	0.0	1.4775	
affichage	N	0.0	0.0	0.1662	0.0	2.0505	0.0	0.2085	
affiche	N	5.7349	31.041	16.6606	12.3852	9.8067	0.0	19.9916	
afficher	V	0.0	10.3608	17.2205	5.1209	64.0313	0.0	14.9736	
affilié	N	0.0	0.0	0.0818	0.0	0.0	0.0	0.0075	
affilée	N	0.0	0.0	0.0818	0.0	0.0	0.0	0.0075	
affiner	V	0.0	0.2206	5.9801	0.0	42.058	45.4565	8.2729	
affinité	N	0.0	0.0	0.7236	0.0	0.0	0.0	0.0666	
affirmatif	A	0.5025	0.0	0.8162	0.0	0.0	0.0	0.758	
affirmation	N	0.0	0.0	0.0	3.0277	0.0	0.0	0.0691	
affirmation de soi	N	0.0	0.0	0.0	3.0277	0.0	0.0	0.0691	
affirmative	N	0.0	0.0	0.1395	0.0	0.0	0.0	0.0128	
affirmer	V	1.0394	17.8366	71.4631	55.7245	157.7019	266.155	67.1318	
affleurer	V	0.0	0.0	0.0	0.7062	0.0	0.0	0.0161	
affligeant	A	0.0	0.0	0.0	0.0	1.6042	0.0	0.0333	
affliger	V	0.0	0.0	0.2041	1.5139	0.0	0.0	0.3268	
affluence	N	0.0	0.0	0.2405	0.0	0.0	0.0	0.0221	
affluent	N	0.0	3.4345	0.0	0.0	0.0	0.0	0.4815	
affluer	V	0.0	0.0	0.0	0.0	0.0	28.8683	0.0702	
afflux	N	0.0	0.0	0.7214	0.0	0.0	0.0	0.0664	
affolant	A	0.0	0.0	0.0	0.0	3.1012	0.0	0.0546	
affolement	N	0.0	0.0	0.0906	0.0	0.0	12.9876	0.4846	
affoler	V	22.2974	0.2599	6.0528	0.0	3.1012	0.0	6.4786	
affolé	A	0.0	0.0	4.4478	0.0	0.0	0.0	0.8159	
affranchi	A	0.0	0.3702	0.0	0.0	0.0	0.0	0.0187	
affranchir	V	0.0	0.0	1.0854	0.0	1.6042	0.0	0.6039	
affreusement	ADV	0.0	1.6044	1.9136	0.0	0.0	0.0	1.7577	
affreux	A	0.0	18.1043	0.6028	21.9794	0.0	0.0	9.4816	
affront	N	0.0	0.0	0.2041	0.0	0.0	0.0	0.0188	
affrontement	N	0.0	0.0618	6.2783	0.0	4.8126	28.8683	4.1384	
affronter	V	1.195	27.8081	18.6466	12.707	22.8111	0.0	22.3983	
affubler	V	0.0	0.0	0.0	7.3154	0.0	0.0	0.4007	
affàires	N	0.0	0.5168	0.0	0.0	0.0	0.0	0.0261	
affût	N	0.0	0.2114	0.7236	0.0	0.0	0.0	0.5007	
aficionado	N	0.0	0.0	0.3465	0.0	0.0	0.0	0.0319	
afin de	PREP	0.5025	22.4396	75.6338	28.5026	182.3398	140.7417	61.1049	
afin que	CONJS	0.0	0.2439	8.4769	19.0817	73.2347	0.0	12.0385	
africain	N	0.6621	0.0944	0.3618	0.0	0.0	0.0	0.5893	
africain	A	48.9535	8.8947	23.0406	11.2845	139.2569	307.9281	49.5466	
agacement	N	0.0	0.0	1.3603	0.0	3.1012	0.0	0.5733	
agacer	V	0.2541	0.0	1.9705	13.2187	0.0	0.0	2.8333	
agathe	N	0.0	0.0	0.6802	0.0	0.0	0.0	0.0626	
age	N	0.0	0.0	0.3618	0.0	0.0	0.0	0.0333	
agence	N	33.2092	4.0787	39.6216	28.7736	38.4493	76.982	34.0197	
agenda	N	0.0	0.0	2.9494	0.0	0.0	28.8683	1.6139	
agent	N	0.0	15.5951	14.1791	124.4202	55.8167	6.4938	32.4279	
agenzia	X	0.0	0.0	1.0202	0.0	0.0	0.0	0.0939	
aggiornamento	N	0.0	0.0	0.0	0.0	9.3035	0.0	0.1638	
agglomération	N	0.0	0.2527	3.7222	0.0	25.3674	0.0	2.8266	
agglutiner le long	V	0.0	0.0	0.0	1.1509	0.0	0.0	0.0698	
aggravation	N	0.0	0.0	0.0	0.0	6.1515	0.0	0.1083	
aggraver	V	0.0	0.0	0.7236	0.7062	4.101	0.0	1.3056	
agile	A	0.0	3.8288	0.4081	1.6517	0.0	0.0	2.1703	
agilité	N	0.0	0.0	0.2916	0.0	0.0	9.6228	0.3419	
agio	N	0.0	0.0	0.0	0.0	3.2084	0.0	0.0665	
agir	V	13.2716	97.1279	234.2017	423.1607	612.1329	746.0158	255.4475	
agitateur	N	0.0	0.0	0.6228	0.0	0.0	0.0	0.0573	
agitation	N	6.1825	2.4301	0.8162	0.0	0.0	0.0	3.5746	
agiter	V	0.2541	7.5782	24.6127	5.8607	12.4046	43.6102	16.8072	
agité	A	1.5934	0.0	0.0	1.6517	0.0	0.0	0.6531	
agneau	N	0.0	0.1103	1.5692	0.0	14.4378	0.0	3.3093	
agnès	N	3.015	0.0	0.0	0.0	0.0	0.0	0.0581	
agoniser	V	0.0	0.0	0.0	0.0	6.2023	0.0	0.1092	
agora	N	0.0	0.0	0.2076	0.0	0.0	0.0	0.0191	
agoraphobie	N	0.0	0.0	1.0854	0.0	0.0	0.0	0.0999	
agrandi	A	0.0	0.0	0.0	0.5285	0.0	0.0	0.0121	
agrandir	V	0.0	12.8707	3.4324	5.4089	4.101	0.0	5.5115	
agrandissement	N	0.0	0.4413	0.0	0.0	0.0	0.0	0.0223	
agresser	V	0.0	3.4071	0.0	3.3034	6.1515	25.9752	4.7484	
agresseur	N	0.0	0.0	0.0	0.0	4.101	0.0	0.0722	
agressif	A	0.0	0.3209	1.8842	0.0	24.7899	19.2455	3.9401	
agressif	N	0.0	0.0	0.2405	0.0	0.0	0.0	0.0221	
agression	N	0.4068	0.0	0.4521	8.2585	6.2023	0.0	3.9448	
agressivité	N	0.0	0.0	0.0	13.6247	0.0	0.0	0.3111	
agricole	A	0.5197	5.0343	7.9647	1.4125	26.9096	0.0	8.3485	
agriculteur	N	0.0	0.3469	14.2844	0.5755	4.101	0.0	4.7673	
agriculture	N	21.4581	20.8969	6.3341	0.0	57.8187	19.4814	20.1732	
agripper	V	0.0	0.0	0.0	1.5856	0.0	0.0	0.0362	
agro - exportateur	A	0.0	0.0	0.0	0.0	2.0505	0.0	0.0361	
agro - industriel	A	0.0	0.0	0.0	0.0	6.2023	0.0	0.1092	
agro - matériaux	N	0.0	0.0	0.0	0.0	6.2023	0.0	0.1092	
agroalimentaire	N	0.0	0.0	0.0	0.0	2.0505	0.0	0.0361	
agronome	N	0.0	0.0	0.0	0.0	4.101	0.0	0.0722	
agronomie	N	0.0	0.0	0.0	0.0	6.1515	0.0	0.1083	
agronomique	A	0.0	0.0	0.0	0.0	6.2023	10.2933	0.9945	
agrume	N	0.0	0.0	0.0	0.0	0.0	8.2347	0.133	
